PeakID (cmd=annotatePeaks.pl tss mm10 -list 2020-04-06_Neutrophil_Expressed_Genes_from_STAR.txt -size -500,150 -CpG)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%
NM_172700	chr4	121098060	121098710	-	0	NA	promoter-TSS (NM_172700)	promoter-TSS (NM_172700)	0	NM_172700	230709	Mm.34399	NM_172700	ENSMUSG00000043207	Zmpste24	A530043O15Rik|D030046F19|FACE1|Face-1|MADB|STE24|Ste24p	zinc metallopeptidase, STE24	protein-coding	0.033846	0.490015
NM_001017426	chr11	69416044	69416694	-	0	NA	promoter-TSS (NM_001017426)	promoter-TSS (NM_001017426)	0	NM_001017426	216850	Mm.261201	NM_001017426	ENSMUSG00000018476	Kdm6b	1700064E03Rik|BC038313|Jmjd3	KDM1 lysine (K)-specific demethylase 6B	protein-coding	0.021538	0.574501
NM_178776	chr6	136828343	136828993	+	0	NA	promoter-TSS (NM_021714)	promoter-TSS (NM_021714)	0	NM_178776	320135	Mm.386899	NM_178776	ENSMUSG00000047515	BC049715	-	cDNA sequence BC049715	protein-coding	0.018462	0.419355
NR_028546	chr6	115807953	115808603	-	0	NA	promoter-TSS (NR_028546)	promoter-TSS (NR_028546)	0	NR_028546	100217451	Mm.484708	NR_028546	ENSMUSG00000064563	Snora7a	MBI-141	small nucleolar RNA, H/ACA box 7A	snoRNA	0.070769	0.592934
NM_011932	chr3	137981399	137982049	-	0	NA	promoter-TSS (NM_001310753)	promoter-TSS (NM_001310753)	0	NM_011932	26377	Mm.254835	NM_011932	ENSMUSG00000028159	Dapp1	Bam32	dual adaptor for phosphotyrosine and 3-phosphoinositides 1	protein-coding	0.026154	0.529954
NM_001102613	chr7	24610828	24611478	+	0	NA	promoter-TSS (NM_001102613)	promoter-TSS (NM_001102613)	0	NM_001102613	232970	Mm.333663	NM_001102613	ENSMUSG00000074277	Phldb3	EG232970|Gm10102	pleckstrin homology like domain, family B, member 3	protein-coding	0.056923	0.615975
NM_026661	chr2	156547076	156547726	+	0	NA	promoter-TSS (NM_026661)	promoter-TSS (NM_026661)	0	NM_026661	68295	Mm.253648	NM_026661	ENSMUSG00000027628	Aar2	0610011L14Rik	AAR2 splicing factor homolog	protein-coding	0.049231	0.517665
NM_174870	chr5	108675215	108675865	-	0	NA	promoter-TSS (NM_001310692)	promoter-TSS (NM_001310692)	0	NM_174870	231583	Mm.440571	NM_174870	ENSMUSG00000046959	Slc26a1	Sat1	solute carrier family 26 (sulfate transporter), member 1	protein-coding	0.013846	0.509985
NM_010957	chr6	113326476	113327126	+	0	NA	promoter-TSS (NM_010957)	promoter-TSS (NM_010957)	0	NM_010957	18294	Mm.43612	NM_010957	ENSMUSG00000030271	Ogg1	Mmh	8-oxoguanine DNA-glycosylase 1	protein-coding	0.067692	0.597542
NM_133854	chr3	90490863	90491513	-	0	NA	promoter-TSS (NM_133854)	promoter-TSS (NM_133854)	0	NM_133854	20615	Mm.331182	NM_133854	ENSMUSG00000001018	Snapin	25kDa|AA407989|AV026596|Bloc1s7|Snap25bp|Snapap	SNAP-associated protein	protein-coding	0.044615	0.523810
NM_080419	chr1	172311867	172312517	+	0	NA	promoter-TSS (NM_080419)	promoter-TSS (NM_080419)	0	NM_080419	140559	Mm.271717	NM_080419	ENSMUSG00000038034	Igsf8	ESTM34|EWI-2|KCT-4|PGRL	immunoglobulin superfamily, member 8	protein-coding	0.063077	0.669739
NM_134033	chr11	5542067	5542717	-	0	NA	promoter-TSS (NM_134033)	promoter-TSS (NM_134033)	0	NM_134033	104479	Mm.210403	NM_134033	ENSMUSG00000020482	Ccdc117	1110004K02Rik|1700026O03Rik|AU018638|AU042822|AV173073|BC018601	coiled-coil domain containing 117	protein-coding	0.043077	0.522273
NM_153091	chr3	104864006	104864656	+	0	NA	promoter-TSS (NM_001253703)	promoter-TSS (NM_001253703)	0	NM_153091	229681	Mm.206379	NM_153091	ENSMUSG00000045576	St7l	St7r	suppression of tumorigenicity 7-like	protein-coding	0.063077	0.602151
NM_019929	chr10	77605597	77606247	+	0	NA	promoter-TSS (NM_019929)	promoter-TSS (NM_019929)	0	NM_019929	20610	Mm.24433	NM_019929	ENSMUSG00000020265	Sumo3	2810014B19Rik|D10Ertd345e|SMT3A|SUMO-3|Smt3h1	small ubiquitin-like modifier 3	protein-coding	0.080000	0.612903
NR_040684	chr5	24902069	24902719	+	0	NA	promoter-TSS (NR_040684)	promoter-TSS (NR_040684)	0	NR_040684	71161	Mm.443533	NR_040684	ENSMUSG00000086446	Prkag2os1	4933426D04Rik	protein kinase, AMP-activated, gamma 2 non-catalytic subunit, opposite strand 1	ncRNA	0.015385	0.485407
NM_177128	chr16	36827900	36828550	+	0	NA	promoter-TSS (NM_001113401)	promoter-TSS (NM_001113401)	0	NM_177128	320299	Mm.222934	NM_177128	ENSMUSG00000022837	Iqcb1	6820449I09Rik|AV128382|NPHP5	IQ calmodulin-binding motif containing 1	protein-coding	0.080000	0.665131
NM_026073	chr5	136907650	136908300	+	0	NA	promoter-TSS (NM_026073)	promoter-TSS (NM_026073)	0	NM_026073	67286	Mm.41779	NM_026073	ENSMUSG00000007987	Ift22	3110017O03Rik|AI835745|AI847427|Rabl5	intraflagellar transport 22	protein-coding	0.044615	0.536098
NR_024067	chr1	9943968	9944618	-	0	NA	promoter-TSS (NR_024067)	promoter-TSS (NR_024067)	0	NR_024067	73824	Mm.28311	NR_024067	ENSMUSG00000098234	Snhg6	1110008H02Rik	small nucleolar RNA host gene 6	ncRNA	0.053846	0.533026
NM_011782	chr16	85900975	85901625	-	0	NA	promoter-TSS (NM_011782)	promoter-TSS (NM_011782)	0	NM_011782	23794	Mm.112933	NM_011782	ENSMUSG00000022894	Adamts5	9530092O11Rik|ADAM-TS5|ADAMTS1|ADAMTS11|ADMP-2|AI481094|ASMP-2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	protein-coding	0.047692	0.559140
NM_001267808	chr17	35262623	35263273	+	0	NA	promoter-TSS (NM_001267808)	promoter-TSS (NM_001267808)	0	NM_001267808	14980	Mm.439675	NM_001267808		H2-L	H-2L	histocompatibility 2, D region locus L	protein-coding	0.066154	0.617512
NM_177343	chr2	5714612	5715262	-	0	NA	promoter-TSS (NM_177343)	promoter-TSS (NM_177343)	0	NM_177343	227541	Mm.191949	NM_177343	ENSMUSG00000039145	Camk1d	A630059D12Rik|CKLiK|CaMKIdelta|E030025C11Rik|mCKLiK	calcium/calmodulin-dependent protein kinase ID	protein-coding	0.089231	0.683564
NM_007478	chr15	98762968	98763618	-	0	NA	promoter-TSS (NM_001355510)	promoter-TSS (NM_001355510)	0	NM_007478	11842	Mm.221298	NM_007478	ENSMUSG00000051853	Arf3	5430400P17Rik|AI854770	ADP-ribosylation factor 3	protein-coding	0.086154	0.668203
NM_007898	chrX	8193362	8194012	-	0	NA	promoter-TSS (NM_007898)	promoter-TSS (NM_007898)	0	NM_007898	13595	Mm.27183	NM_007898	ENSMUSG00000031168	Ebp	AI255399|Pabp|SI|Td|mSI	phenylalkylamine Ca2+ antagonist (emopamil) binding protein	protein-coding	0.027692	0.451613
NM_011046	chr7	80402662	80403312	-	0	NA	promoter-TSS (NM_011046)	promoter-TSS (NM_011046)	0	NM_011046	18550	Mm.5241	NM_011046	ENSMUSG00000030530	Furin	9130404I01Rik|Fur|PACE|Pcsk3|SPC1	furin (paired basic amino acid cleaving enzyme)	protein-coding	0.136923	0.774194
NM_015768	chr6	99726242	99726892	-	0	NA	promoter-TSS (NM_001170419)	promoter-TSS (NM_001170419)	0	NM_015768	50501	Mm.87365	NM_015768	ENSMUSG00000030069	Prok2	Bv8|PK2|Prok1	prokineticin 2	protein-coding	0.101538	0.662058
NM_028247	chr10	40142104	40142754	-	0	NA	promoter-TSS (NM_028247)	promoter-TSS (NM_028247)	0	NM_028247	72472	Mm.186778	NM_028247	ENSMUSG00000019838	Slc16a10	2610103N14Rik|9830169E08|Mct10|PRO0813|TAT1	solute carrier family 16 (monocarboxylic acid transporters), member 10	protein-coding	0.073846	0.576037
NM_146120	chr2	35281880	35282530	+	0	NA	promoter-TSS (NM_146120)	promoter-TSS (NM_146120)	0	NM_146120	227753	Mm.443	NM_146120	ENSMUSG00000026879	Gsn	ADF	gelsolin	protein-coding	0.044615	0.533026
NM_172628	chr18	61952575	61953225	+	0	NA	promoter-TSS (NM_172628)	promoter-TSS (NM_172628)	0	NM_172628	225608	Mm.262320	NM_172628	ENSMUSG00000045629	Sh3tc2	D430044G18Rik	SH3 domain and tetratricopeptide repeats 2	protein-coding	0.021538	0.597542
NM_019875	chr5	124095648	124096298	-	0	NA	promoter-TSS (NM_019875)	promoter-TSS (NM_019875)	0	NM_019875	56325	Mm.254839	NM_019875	ENSMUSG00000029408	Abcb9	TAPL|mKIAA1520	ATP-binding cassette, sub-family B (MDR/TAP), member 9	protein-coding	0.058462	0.649770
NM_145984	chr17	85090117	85090767	-	0	NA	promoter-TSS (NM_145984)	promoter-TSS (NM_145984)	0	NM_145984	213760	Mm.259035	NM_145984	ENSMUSG00000024127	Prepl	2810457N15Rik|9530014L06Rik|D030028O16Rik|mKIAA0436	prolyl endopeptidase-like	protein-coding	0.058462	0.569892
NM_010848	chr10	21160834	21161484	-	0	NA	promoter-TSS (NM_010848)	promoter-TSS (NM_010848)	0	NM_010848	17863	Mm.52109	NM_010848	ENSMUSG00000019982	Myb	AI550390|M16449|c-myb	myeloblastosis oncogene	protein-coding	0.096923	0.660522
NM_146097	chr19	24961466	24962116	-	0	NA	promoter-TSS (NR_033744)	promoter-TSS (NR_033744)	0	NM_146097	226043	Mm.272127	NM_146097	ENSMUSG00000024878	Cbwd1	AV349248|BC018472	COBW domain containing 1	protein-coding	0.046154	0.523810
NM_175035	chr6	48745697	48746347	+	0	NA	promoter-TSS (NM_175035)	promoter-TSS (NM_175035)	0	NM_175035	317757	Mm.455917	NM_175035	ENSMUSG00000043505	Gimap5	D630024P16|E230026N22Rik	GTPase, IMAP family member 5	protein-coding	0.015385	0.525346
NM_175542	chr18	88971290	88971940	+	0	NA	promoter-TSS (NR_105777)	promoter-TSS (NR_105777)	0	NM_175542	246102	Mm.772	NM_175542	ENSMUSG00000023066	Rttn	4921538A15Rik|AI666264|C530033I08Rik|D230040K24	rotatin	protein-coding	0.027692	0.476190
NM_015779	chr10	79885812	79886462	+	0	NA	promoter-TSS (NM_015779)	promoter-TSS (NM_015779)	0	NM_015779	50701	Mm.262194	NM_015779	ENSMUSG00000020125	Elane	Ela2|F430011M15Rik|NE	elastase, neutrophil expressed	protein-coding	0.016923	0.494624
NM_026823	chr1	135146334	135146984	+	0	NA	promoter-TSS (NM_026823)	promoter-TSS (NM_026823)	0	NM_026823	68724	Mm.174998	NM_026823	ENSMUSG00000026426	Arl8a	1110033P22Rik|Arl10b|gie2	ADP-ribosylation factor-like 8A	protein-coding	0.123077	0.678955
NM_183089	chr15	55090341	55090991	-	0	NA	promoter-TSS (NM_183089)	promoter-TSS (NM_183089)	0	NM_183089	72107	Mm.486550	NM_183089	ENSMUSG00000022422	Dscc1	2010006I05Rik|2600005O03Rik|Dcc1	DNA replication and sister chromatid cohesion 1	protein-coding	0.064615	0.594470
NM_017372	chr10	117282122	117282772	-	0	NA	promoter-TSS (NM_017372)	promoter-TSS (NM_017372)	0	NM_017372	17105	Mm.45436	NM_017372	ENSMUSG00000069516	Lyz2	AI326280|Lys|Lysm|Lyzf2|Lyzs|Lzm|Lzm-s1|Lzp	lysozyme 2	protein-coding	0.004615	0.433180
NM_027231	chr15	79140825	79141475	+	0	NA	promoter-TSS (NM_027231)	promoter-TSS (NM_027231)	0	NM_027231	69833	Mm.279861	NM_027231	ENSMUSG00000033020	Polr2f	1810060D16Rik|RPB6	polymerase (RNA) II (DNA directed) polypeptide F	protein-coding	0.089231	0.622120
NM_172739	chr7	16614843	16615493	-	0	NA	promoter-TSS (NM_172739)	promoter-TSS (NM_172739)	0	NM_172739	232906	Mm.28646	NM_172739	ENSMUSG00000058230	Arhgap35	6430596G11Rik|AI841135|Grlf1|mKIAA1722|p190A|p190RhoGAP	Rho GTPase activating protein 35	protein-coding	0.113846	0.697389
NM_019651	chr9	56994468	56995118	+	0	NA	promoter-TSS (NM_019651)	promoter-TSS (NM_019651)	0	NM_019651	56294	Mm.325643	NM_019651	ENSMUSG00000032290	Ptpn9	MEG2	protein tyrosine phosphatase, non-receptor type 9	protein-coding	0.072308	0.603687
NM_009781	chr6	119196259	119196909	-	0	NA	promoter-TSS (NM_001255998)	promoter-TSS (NM_001255998)	0	NM_009781	12288	Mm.41628	NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding	0.015385	0.476190
NM_030706	chr3	84220727	84221377	-	0	NA	promoter-TSS (NM_030706)	promoter-TSS (NM_030706)	0	NM_030706	80890	Mm.44876	NM_030706	ENSMUSG00000027993	Trim2	mKIAA0517|narf	tripartite motif-containing 2	protein-coding	0.021538	0.488479
NM_013757	chrX	133981662	133982312	-	0	NA	promoter-TSS (NM_001290717)	promoter-TSS (NM_001290717)	0	NM_013757	27359	Mm.38674	NM_013757	ENSMUSG00000031255	Sytl4	Gph|Slp4	synaptotagmin-like 4	protein-coding	0.024615	0.486943
NM_007480	chr6	28423104	28423754	+	0	NA	promoter-TSS (NM_007480)	promoter-TSS (NM_007480)	0	NM_007480	11844	Mm.389075	NM_007480	ENSMUSG00000020440	Arf5	-	ADP-ribosylation factor 5	protein-coding	0.078462	0.594470
NM_019786	chr10	121586644	121587294	-	0	NA	promoter-TSS (NM_019786)	promoter-TSS (NM_019786)	0	NM_019786	56480	Mm.34580	NM_019786	ENSMUSG00000020115	Tbk1	1200008B05Rik|AI462036|AW048562	TANK-binding kinase 1	protein-coding	0.095385	0.634409
NM_011519	chr12	8770896	8771546	+	0	NA	promoter-TSS (NM_011519)	promoter-TSS (NM_011519)	0	NM_011519	20969	Mm.2580	NM_011519	ENSMUSG00000020592	Sdc1	AA408134|AA409076|CD138|Sstn|Synd|Synd1|syn-1	syndecan 1	protein-coding	0.060000	0.639017
NM_030695	chr3	86224190	86224840	+	0	NA	promoter-TSS (NM_001077687)	promoter-TSS (NM_001077687)	0	NM_030695	80877	Mm.439825	NM_030695	ENSMUSG00000028080	Lrba	C80285|D3Ertd775e|Lab300|Lba	LPS-responsive beige-like anchor	protein-coding	0.116923	0.731183
NM_001005419	chr10	67548805	67549455	-	0	NA	promoter-TSS (NM_001005419)	promoter-TSS (NM_001005419)	0	NM_001005419	211488	Mm.297250	NM_001005419	ENSMUSG00000057134	Ado	Gm237	2-aminoethanethiol (cysteamine) dioxygenase	protein-coding	0.124615	0.669739
NM_147218	chr11	110251626	110252276	-	0	NA	promoter-TSS (NM_001166556)	promoter-TSS (NM_001166556)	0	NM_147218	76184	Mm.159704	NM_147218	ENSMUSG00000044749	Abca6	6330565N06Rik	ATP-binding cassette, sub-family A (ABC1), member 6	protein-coding	0.010769	0.384025
NM_145619	chr9	106476799	106477449	-	0	NA	promoter-TSS (NM_145619)	promoter-TSS (NM_145619)	0	NM_145619	235587	Mm.273659	NM_145619	ENSMUSG00000023249	Parp3	A930002C11Rik|ADPRT-3|ARTD3|AW990611|Adprt3|Adprtl3|PARP-3|pADPRT-3	poly (ADP-ribose) polymerase family, member 3	protein-coding	0.061538	0.599078
NM_010508	chr16	91484715	91485365	+	0	NA	promoter-TSS (NM_010508)	promoter-TSS (NM_010508)	0	NM_010508	15975	Mm.502	NM_010508	ENSMUSG00000022967	Ifnar1	Ifar|Ifnar|Ifrc|Infar	interferon (alpha and beta) receptor 1	protein-coding	0.070769	0.615975
NM_008026	chr9	32541302	32541952	-	0	NA	promoter-TSS (NM_008026)	promoter-TSS (NM_008026)	0	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding	0.041538	0.536098
NM_172424	chr5	118560219	118560869	+	0	NA	promoter-TSS (NM_001347445)	promoter-TSS (NM_001347445)	0	NM_172424	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding	0.176923	0.804916
NM_001013414	chr11	69901316	69901966	+	0	NA	promoter-TSS (NM_001316698)	promoter-TSS (NM_001316698)	0	NM_001013414	216860	Mm.268347	NM_001013414	ENSMUSG00000047284	Neurl4	-	neuralized E3 ubiquitin protein ligase 4	protein-coding	0.104615	0.643625
NM_007807	chrX	9469174	9469824	-	0	NA	promoter-TSS (NM_007807)	promoter-TSS (NM_007807)	0	NM_007807	13058	Mm.200362	NM_007807	ENSMUSG00000015340	Cybb	C88302|CGD91-phox|Cgd|Cyd|Nox2|gp91-1|gp91phox	cytochrome b-245, beta polypeptide	protein-coding	0.001538	0.334869
NM_175654	chr13	23581068	23581718	+	0	NA	promoter-TSS (NM_175654)	promoter-TSS (NM_175654)	0	NM_175654	319156	Mm.260530	NM_175654	ENSMUSG00000061482	Hist1h4d	-	histone cluster 1, H4d	protein-coding	0.029231	0.451613
NM_145445	chr12	85218981	85219631	+	0	NA	promoter-TSS (NM_145445)	promoter-TSS (NM_145445)	0	NM_145445	217715	Mm.29041	NM_145445	ENSMUSG00000004788	Eif2b2	EIF-2Bbeta|EIF2B	eukaryotic translation initiation factor 2B, subunit 2 beta	protein-coding	0.067692	0.580645
NM_009663	chr5	149264504	149265154	+	0	NA	promoter-TSS (NM_009663)	promoter-TSS (NM_009663)	0	NM_009663	11690	Mm.19844	NM_009663	ENSMUSG00000060063	Alox5ap	Flap	arachidonate 5-lipoxygenase activating protein	protein-coding	0.006154	0.546851
NM_201373	chr5	137116057	137116707	-	0	NA	promoter-TSS (NM_201373)	promoter-TSS (NM_201373)	0	NM_201373	384309	Mm.100647	NM_201373	ENSMUSG00000043279	Trim56	A130009K11Rik|Gm452|RNF109	tripartite motif-containing 56	protein-coding	0.036923	0.577573
NM_001081219	chr10	127704756	127705406	+	0	NA	promoter-TSS (NM_001081219)	promoter-TSS (NM_001081219)	0	NM_001081219	432516	Mm.90450	NM_001081219	ENSMUSG00000025401	Myo1a	BBM-I|Myhl	myosin IA	protein-coding	0.006154	0.529954
NM_028428	chr14	20694468	20695118	+	0	NA	promoter-TSS (NM_028428)	promoter-TSS (NM_028428)	0	NM_028428	73068	Mm.277552	NM_028428	ENSMUSG00000039357	Fut11	3110009G03Rik|AI317183	fucosyltransferase 11	protein-coding	0.041538	0.572965
NM_021308	chr14	70428958	70429608	-	0	NA	promoter-TSS (NM_021308)	promoter-TSS (NM_021308)	0	NM_021308	57746	Mm.85253	NM_021308	ENSMUSG00000033644	Piwil2	Piwil1l|mili	piwi-like RNA-mediated gene silencing 2	protein-coding	0.041538	0.600614
NM_146186	chr7	30280260	30280910	-	0	NA	promoter-TSS (NR_152437)	promoter-TSS (NR_152437)	0	NM_146186	233064	Mm.271677	NM_146186	ENSMUSG00000037020	Wdr62	2310038K02Rik|b2b1508Clo	WD repeat domain 62	protein-coding	0.053846	0.552995
NM_153525	chr7	109986080	109986730	-	0	NA	promoter-TSS (NM_153525)	promoter-TSS (NM_153525)	0	NM_153525	233724	Mm.43212	NM_153525	ENSMUSG00000047554	Tmem41b	1500015G02Rik|1500031M19Rik|AU018901|D7Ertd70e|D7Ertd743e	transmembrane protein 41B	protein-coding	0.073846	0.557604
NM_010959	chr10	59441629	59442279	-	0	NA	promoter-TSS (NM_010959)	promoter-TSS (NM_010959)	0	NM_010959	18302	Mm.123013	NM_010959	ENSMUSG00000009654	Oit3	EF-9|LZP	oncoprotein induced transcript 3	protein-coding	0.023077	0.513057
NM_032465	chr16	46120098	46120748	-	0	NA	promoter-TSS (NM_032465)	promoter-TSS (NM_032465)	0	NM_032465	84544	Mm.29204	NM_032465	ENSMUSG00000022657	Cd96	1700109I12Rik|Tactile	CD96 antigen	protein-coding	0.015385	0.430108
NM_009059	chr17	33929394	33930044	+	0	NA	promoter-TSS (NM_009059)	promoter-TSS (NM_009059)	0	NM_009059	19732	Mm.43777	NM_009059	ENSMUSG00000041354	Rgl2	KE1.5|Rab2l|Rgt2|Rlf	ral guanine nucleotide dissociation stimulator-like 2	protein-coding	0.100000	0.683564
NM_173006	chr6	5256083	5256733	-	0	NA	promoter-TSS (NM_173006)	promoter-TSS (NM_173006)	0	NM_173006	269823	Mm.9122	NM_173006	ENSMUSG00000029759	Pon3	2810004E20|AI786302	paraoxonase 3	protein-coding	0.015385	0.517665
NM_009229	chr8	106935240	106935890	+	0	NA	promoter-TSS (NM_009229)	promoter-TSS (NM_009229)	0	NM_009229	20650	Mm.30228	NM_009229	ENSMUSG00000041308	Sntb2	SNT3|SNTL|Snt2	syntrophin, basic 2	protein-coding	0.066154	0.614439
NM_028728	chr15	83022988	83023638	-	0	NA	promoter-TSS (NM_001271414)	promoter-TSS (NM_001271414)	0	NM_028728	74039	Mm.32584	NM_028728	ENSMUSG00000058099	Nfam1	4921501M20Rik|Cnaip	Nfat activating molecule with ITAM motif 1	protein-coding	0.016923	0.549923
NM_024218	chr16	55965775	55966425	+	0	NA	promoter-TSS (NM_024218)	promoter-TSS (NM_024218)	0	NM_024218	68193	Mm.29221	NM_024218	ENSMUSG00000098274	Rpl24	0610008L05Rik|Bst	ribosomal protein L24	protein-coding	0.035385	0.486943
NM_133218	chr3	9609935	9610585	-	0	NA	promoter-TSS (NM_133218)	promoter-TSS (NM_133218)	0	NM_133218	170753	Mm.212908	NM_133218	ENSMUSG00000040209	Zfp704	C030026M03|C030034L19Rik|Gig1|Znf704	zinc finger protein 704	protein-coding	0.063077	0.623656
NR_029529	chr3	69009272	69009922	+	0	NA	promoter-TSS (NR_029529)	promoter-TSS (NR_029529)	0	NR_029529	387175		NR_029529	ENSMUSG00000065580	Mir15b	Mirn15b|mir-15b|mmu-mir-15b	microRNA 15b	ncRNA	0.012308	0.350230
NM_001031667	chr7	25237701	25238351	-	0	NA	promoter-TSS (NM_001031667)	promoter-TSS (NM_001031667)	0	NM_001031667	606496	Mm.491101	NM_001031667	ENSMUSG00000057177	Gsk3a	2700086H06Rik	glycogen synthase kinase 3 alpha	protein-coding	0.060000	0.579109
NM_026954	chr4	93335361	93336011	-	0	NA	promoter-TSS (NM_026954)	promoter-TSS (NM_026954)	0	NM_026954	69136	Mm.171558	NM_026954	ENSMUSG00000054000	Tusc1	2200001D17Rik|TSG-9	tumor suppressor candidate 1	protein-coding	0.084615	0.646697
NM_183144	chr7	139388609	139389259	+	0	NA	promoter-TSS (NM_001127363)	promoter-TSS (NM_001127363)	0	NM_183144	212111	Mm.28308	NM_183144	ENSMUSG00000025477	Inpp5a	-	inositol polyphosphate-5-phosphatase A	protein-coding	0.084615	0.694316
NM_001008550	chr12	79296132	79296782	-	0	NA	promoter-TSS (NM_001252562)	promoter-TSS (NM_001252562)	0	NM_001008550	211978	Mm.297919	NM_001008550	ENSMUSG00000066440	Zfyve26	4930465A13|9330197E15Rik|A630028O16Rik|Gm893|mKIAA0321	zinc finger, FYVE domain containing 26	protein-coding	0.044615	0.491551
NM_011400	chr4	119108245	119108895	+	0	NA	promoter-TSS (NM_011400)	promoter-TSS (NM_011400)	0	NM_011400	20525	Mm.21002	NM_011400	ENSMUSG00000028645	Slc2a1	Glut-1|Glut1	solute carrier family 2 (facilitated glucose transporter), member 1	protein-coding	0.049231	0.572965
NR_028298	chr6	86849290	86849940	-	0	NA	promoter-TSS (NM_001040106)	promoter-TSS (NM_001040106)	0	NR_028298	67170	Mm.119489	NR_028298	ENSMUSG00000100164	2610306M01Rik	-	RIKEN cDNA 2610306M01 gene	ncRNA	0.104615	0.678955
NM_010183	chr7	127478458	127479108	+	0	NA	promoter-TSS (NM_010183)	promoter-TSS (NM_010183)	0	NM_010183	14123	Mm.323505	NM_010183	ENSMUSG00000042423	Fbrs	Fbs|Fbs1	fibrosin	protein-coding	0.056923	0.588326
NM_029751	chr8	70897293	70897943	-	0	NA	promoter-TSS (NM_029751)	promoter-TSS (NM_029751)	0	NM_029751	76808	Mm.379251	NM_029751	ENSMUSG00000045128	Rpl18a	2510019J09Rik	ribosomal protein L18A	protein-coding	0.063077	0.546851
NM_008326	chr11	48871270	48871920	-	0	NA	promoter-TSS (NM_008326)	promoter-TSS (NM_008326)	0	NM_008326	15944	Mm.29938	NM_008326	ENSMUSG00000046879	Irgm1	Ifggd3|Ifi1|Iigp3|Iipg3|Irgm	immunity-related GTPase family M member 1	protein-coding	0.036923	0.542243
NM_175268	chr7	132786785	132787435	-	0	NA	promoter-TSS (NM_175268)	promoter-TSS (NM_175268)	0	NM_175268	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding	0.009231	0.500768
NM_172293	chr15	97246607	97247257	+	0	NA	promoter-TSS (NM_172293)	promoter-TSS (NM_172293)	0	NM_172293	239647	Mm.130036	NM_172293	ENSMUSG00000044250	Pced1b	Fam113b	PC-esterase domain containing 1B	protein-coding	0.084615	0.572965
NM_001024721	chr1	173535807	173536457	-	0	NA	promoter-TSS (NM_001024721)	promoter-TSS (NM_001024721)	0	NM_001024721	545384	Mm.371698	NM_001024721	ENSMUSG00000070501	Ifi214	Pyhin-B|p214	interferon activated gene 214	protein-coding	0.004615	0.405530
NM_027276	chr8	13757156	13757806	+	0	NA	promoter-TSS (NM_027276)	promoter-TSS (NM_027276)	0	NM_027276	69957	Mm.182412	NM_027276	ENSMUSG00000038416	Cdc16	2700071J12Rik|2810431D22Rik|APC6	CDC16 cell division cycle 16	protein-coding	0.055385	0.569892
NM_027922	chr5	110230504	110231154	+	0	NA	promoter-TSS (NM_027922)	promoter-TSS (NM_027922)	0	NM_027922	71782	Mm.288442	NM_027922	ENSMUSG00000029501	Ankle2	1110001J12Rik|AI661024|D5Ertd585e	ankyrin repeat and LEM domain containing 2	protein-coding	0.080000	0.603687
NR_106134	chr7	30588880	30589530	+	0	NA	promoter-TSS (NR_106134)	promoter-TSS (NR_106134)	0	NR_106134	102465774		NR_106134	ENSMUSG00000098553	Mir3569	Gm27279|mmu-mir-3569	microRNA 3569	ncRNA	0.083077	0.645161
NM_175661	chr13	23533375	23534025	+	0	NA	promoter-TSS (NM_175661)	promoter-TSS (NM_175661)	0	NM_175661	319173	Mm.377878	NM_175661	ENSMUSG00000061991	Hist1h2af	H2a-221	histone cluster 1, H2af	protein-coding	0.035385	0.447005
NM_018825	chr5	136244790	136245440	-	0	NA	promoter-TSS (NM_001302939)	promoter-TSS (NM_001302939)	0	NM_018825	23921	Mm.425294	NM_018825	ENSMUSG00000005057	Sh2b2	Aps	SH2B adaptor protein 2	protein-coding	0.078462	0.677419
NM_025443	chr11	17211439	17212089	-	0	NA	promoter-TSS (NM_025443)	promoter-TSS (NM_025443)	0	NM_025443	66249	Mm.27831	NM_025443	ENSMUSG00000020116	Pno1	1810003N24Rik|AA407421|AU015468|AU019495|AU042323|Emi3|Imi3	partner of NOB1 homolog	protein-coding	0.058462	0.549923
NR_045889	chr16	84971711	84972361	+	0	NA	promoter-TSS (NR_045889)	promoter-TSS (NR_045889)	0	NR_045889	100038614	Mm.441351	NR_045889	ENSMUSG00000115518	Gm10791	-	predicted gene 10791	ncRNA	0.020000	0.453149
